vehicle_id,created,edited,name,model,manufacturer,cost_in_credits,length,max_atmosphering_speed,crew,passengers,cargo_capacity,consumables,vehicle_class,pilots,films
1,"2014-12-10 15:36:25","2014-12-20 21:30:21","Sand Crawler","Digger Crawler","Corellia Mining Corporation",150000,36.8,30,46,30,50000,"2 months",wheeled,[],"[1,5]"
2,"2014-12-10 16:01:52","2014-12-20 21:30:21","T-16 skyhopper","T-16 skyhopper","Incom Corporation",14500,10.4,1200,1,1,50,0,repulsorcraft,[],[1]
3,"2014-12-10 16:13:52","2014-12-20 21:30:21","X-34 landspeeder","X-34 landspeeder","SoroSuub Corporation",10550,3.4,250,1,1,5,unknown,repulsorcraft,[],[1]
4,"2014-12-10 16:33:52","2014-12-20 21:30:21","TIE/LN starfighter","Twin Ion Engine/Ln Starfighter","Sienar Fleet Systems",0,6.4,1200,1,0,65,"2 days",starfighter,[],"[1,2,3]"
5,"2014-12-15 12:22:12","2014-12-20 21:30:21",Snowspeeder,"t-47 airspeeder","Incom corporation",0,4.5,650,2,0,10,none,airspeeder,"[1,18]",[2]
6,"2014-12-15 12:33:15","2014-12-20 21:30:21","TIE bomber","TIE/sa bomber","Sienar Fleet Systems",0,7.8,850,1,0,0,"2 days","space/planetary bomber",[],"[2,3]"
7,"2014-12-15 12:38:25","2014-12-20 21:30:21",AT-AT,"All Terrain Armored Transport","Kuat Drive Yards, Imperial Department of Military Research",0,20,60,5,40,1000,unknown,"assault walker",[],"[2,3]"
8,"2014-12-15 12:46:42","2014-12-20 21:30:21",AT-ST,"All Terrain Scout Transport","Kuat Drive Yards, Imperial Department of Military Research",0,2,90,2,0,200,none,walker,[13],"[2,3]"
9,"2014-12-15 12:58:50","2014-12-20 21:30:21","Storm IV Twin-Pod cloud car","Storm IV Twin-Pod","Bespin Motors",75000,7,1500,2,0,10,"1 day",repulsorcraft,[],[2]
10,"2014-12-18 10:44:14","2014-12-20 21:30:21","Sail barge","Modified Luxury Sail Barge","Ubrikkian Industries Custom Vehicle Division",285000,30,100,26,500,2000000,"Live food tanks","sail barge",[],[3]
